first played, last played, playtime/mins, money,jrmcStrI,jrmcDexI,jrmcCnsI,jrmcWilI,jrmcIntI,jrmcCncI
1512328588955,1687976208177,19848922,697.00,2700,1300,1820,69,320,400
1659739253919,1659813258048,125263,0.0,24,13,10,15,11,11
1667495466739,1667498680199,63551,0.0,13,10,16,10,20,15
1673677468913,1673680291776,48555,0.0,30,10,10,15,5,5
1650142416621,1650145530698,58568,0.0,17,11,10,16,21,5
1672645346893,1673424564966,46026,0.0,11,5,15,10,10,15
1672593101875,1683934110614,112624,0.0,20,20,20,15,31,5
1662406006185,1689115025625,6093457,98181.803447860032074447,110,110,104,80,220,100
1657565963118,1657908044942,1854263,0.0,56,50,45,44,55,23
1664979040865,1677094246351,97238,0.0,26,12,27,15,11,5
1678183185798,1678757376727,269161,0.0,50,22,20,15,35,17
1663017043365,1663018400353,22590,0,10,10,10,15,10,5
1624676986631,1625519362218,3398248,1007.270,96,42,83,24,138,24
1685403716316,1685405980465,45900,0.0,17,12,12,15,23,5
1669089273317,1669090016520,11163,0,10,10,10,15,10,5
1642971400981,1654092478163,143801,0.0,15,10,10,15,9,7
1663089700542,1663090303331,11627,0,15,10,10,15,5,5
1681163560407,1681169714038,106745,0.0,16,10,10,15,5,5
1681687277933,1681778426914,141873,0.0,15,9,17,11,12,15
1574849933879,1675019986905,2373569,34368.5,19486,20797,38991,276,8404,10196
1680363025048,1680535224713,154672,682.0,21,17,21,10,5,15
1563840463010,1688917489102,79604957,1113.250,13000,18000,36000,15,1500,8000
1655552223506,1688393129883,3736793,634.54,300,300,200,100,230,290
1651102305870,1651102723530,8194,0,10,10,10,15,10,5
1686770348463,1689170157132,12142271,3797.050,2318,2240,1686,466,727,2096
1650995573285,1651330253637,89572,0.0,15,10,10,15,20,5
1687643036809,1687721919651,258016,22584.0,45,10,50,15,45,15
1650937882379,1662914633956,14149,0.0,15,10,10,15,5,5
1648189218998,1652484186354,94271,0.0,31,20,12,15,10,5
1627237480440,1669142308486,3067152,2756.0,130,130,130,130,130,120
1659804346861,1688641242474,1907696,1939.0,190,130,180,20,155,20
1680369430963,1680783896496,1137007,83.0,200,170,160,15,85,100
1686100536514,1686886174390,2985850,36.0,220,200,200,10,230,100
1664764893612,1664767347294,48927,0.0,15,10,10,15,5,5
1675210863138,1675217056871,49917,0.0,31,11,11,15,6,5
1669826850441,1679865649215,621529,0.0,47,22,22,15,25,8
1666963773616,1666963894886,2196,0,10,5,15,10,5,15
1660621330776,1660862444237,427137,0.0,40,34,14,25,40,10
1670404655923,1673915941487,33501789,0,18,13,13,15,5,5
1636824291268,1657038890233,9296858,0.0,630,520,770,120,385,311
1528412146875,1688068072062,27021170,0.00,43568,14396,52404,15,4821,15000
1629397668227,1688685817110,11579399,2.135442257573878579,3200,3000,3000,50,645,300
1685892573301,1685893476585,16277,0,10,10,10,10,10,10
1592930321825,1688394020291,9284921,3671.60,70,59,112,42,230,31
1655316006544,1668294594212,4915,0,15,10,10,15,5,5
1674828347957,1674828716961,7352,0,15,10,10,15,5,5
1634666802879,1679342091458,626223,0.0,100,97,90,15,60,45
1648969073471,1675139488627,19900,0,14,5,15,10,5,15
1678187918644,1678265764717,14782,0,15,10,10,15,5,5
1589797961108,1654800919179,2562564,0.0,33,16,16,11,100,15
1676647050930,1677942408271,8617473,30.04,5,14,7,36000,630,19002
1629222973384,1680199228018,15702131,4776.97,831,831,731,270,306,613
1630332496841,1656928710455,2357592,0,160,110,290,15,180,80
1651721022348,1651727717372,133423,0,19,10,10,15,5,5
1682727324446,1682731964336,75796,0.0,15,10,10,15,8,5
1660028225318,1668552745610,68402,0.0,38,10,10,15,5,5
1671264200444,1671708120571,39364,0.0,10,10,10,15,10,5
1651611543336,1651613179972,29405,0,16,10,10,15,5,5
1479587026234,1688186866599,55905447,1408.0,14000,16000,15000,10,2180,11000
1683614449120,1683615268613,16130,0,10,5,15,10,5,15
1655721961145,1678250022832,508824,0.0,110,120,65,12,46,15
1657075789396,1681319787436,341427,0.0,25,12,20,15,6,5
1675638210971,1675640117121,37721,0,11,10,11,15,10,5
1665348976364,1665813639230,114881,0.0,15,15,14,15,10,7
1656781825217,1689114445704,19013642,307192.62,6153,5166,7412,21,1036,2090
1632330664778,1650070718254,116944097,0,930,820,1860,10,530,530
